rms_id,category,title,verdict,flags,imgW,imgH,frameCoverage,solvedScale,unclampedScale,url
live-ruby-red-ski-lift-bench,large-decor,"RUBY RED SKI LIFT BENCH",BROKEN,MEASURE_FAIL|LOW_RES,197,295,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/largedecor/RUBY%20Ski%20Lift%201.png
2949,tableware,"SAGE GLASSWARE",BROKEN,MEASURE_FAIL|LOW_RES,377,288,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/glassware/SAGE%20Set.png
runa-faux-book-collection,styling,"RUNA FAUX BOOK COLLECTION",BROKEN,MEASURE_FAIL|LOW_RES,262,224,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/RUNA%20Faux%20Books.png
live-ryland,large-decor,"RYLAND PALLET WALL",AT_RISK,LOW_RES,400,300,0.352,0.845,0.845,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/squarespace/live-ryland/e7d50b207894-RYLAND_Wall_Single_0.png
3784,tables,"RADEN RECTANGLE COFFEE TABLE",BROKEN,FETCH_FAIL,,,,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/missing-gaps/RADEN%20Rectangle%20Coffee%20Table%200.png
4121,seating,"SANARA DINING CHAIRS",BROKEN,MEASURE_FAIL|LOW_RES,320,283,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/chair-dining/SANARA%20Dining%20Chiars%200.png
148,storage,"SALIDA ACACIA SHELF",BROKEN,MEASURE_FAIL|LOW_RES,147,289,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/storage/SALIDA%20Shelf%200.png
2924,tables,"SERGIO MARBLE CUBE SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,276,248,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/SERGIO%20Cube%20Side%20Table%200.png
3156,styling,"SHAY LEATHER BASKET",BROKEN,MEASURE_FAIL|LOW_RES,193,210,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/SHAY%20Leather%20Basket.png
3735,serveware,"SARSEN STONE TRAY",BROKEN,MEASURE_FAIL|LOW_RES,352,240,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/SARSEN%20Stone%20Tray.png
4099,tables,"RELIC LIMESTONE COFFEE TABLE",BROKEN,FETCH_FAIL,,,,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/coffeetables/RELIC%20Limestone%20Coffee%20Table%200.png
640,styling,"SHEA STEER SKULL",BROKEN,MEASURE_FAIL|LOW_RES,218,260,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/SHEA%20Skull%200.png
live-salva,styling,"SALVA VINTAGE OPERA GLASSES",BROKEN,LOW_RES|CLAMP_MASSIVE,400,300,0.372,0.750,0.613,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/squarespace/live-salva/a5ad5239f2bf-SALVA_Opera_Glasses.PNG
1817,rugs,"SHERIDAN 8X10 OLIVE CHENILLE RUG",BROKEN,MEASURE_FAIL|OPAQUE_BG|LOW_RES,380,235,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/rugs/SHERIDAN%208x10%20Rug%200.png
596,styling,"SHERLOCK DESKTOP MAGNIFYING GLASS",BROKEN,MEASURE_FAIL|LOW_RES,122,257,0.992,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/SHERLOCK%20Magnifying%20Glass.png
1691,rugs,"SHILOH 8X10 GREY & IVORY RUG",BROKEN,MEASURE_FAIL|OPAQUE_BG|LOW_RES,345,263,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/rugs/SHILOH%20Rug%200.png
415,rugs,"SHIRAZ 8X10 IVORY & GREY WOVEN WOOL RUG",BROKEN,MEASURE_FAIL|OPAQUE_BG|LOW_RES,366,267,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/rugs/SHIRAZ%208x10%20Rug%200.png
3030,tables,"RIVER 54\" COFFEE TABLE",BROKEN,FETCH_FAIL,,,,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/coffeetables/RIVER%2054%20Coffee%20Table.png
2748,seating,"SIDONY WHITE + WOOD SOFA",BROKEN,MEASURE_FAIL|LOW_RES,392,163,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/sofa/SIDONY%20Sofa%200.png
3123,serveware,"SHETANI DARK BRASS TRAY",BROKEN,MEASURE_FAIL|LOW_RES,260,207,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/SHETANI%2033%20Dark%20Brass.png
1927,bars,"SIDECAR DARK WOOD BAR",PASS,,1448,1086,0.527,0.981,0.981,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/1927/c056e461588deaff.png
2752,seating,"SIETE RATTAN OTTOMAN",BROKEN,MEASURE_FAIL|LOW_RES,245,269,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/ottoman/SIETE%20Ottoman.png
907,rugs,"SHIMA 8X10 FADED BLACK RUG",BROKEN,MEASURE_FAIL|LOW_RES,396,292,0.965,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/rugs/SHIMA%208x10%20Rug%200.png
360,bars,"SCOUT WOOD COMMUNITY TABLE",PASS,,1448,1086,0.619,0.935,0.935,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/360/b19663c6b38d5093.png
2715,seating,"SILAS SAGE + OAK CANE SOFA",BROKEN,MEASURE_FAIL|LOW_RES,392,185,0.997,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/sofa/SILAS%20Cane%20Sofa%200.png
4157,pillows-throws,"SILVER LEATHER WOVEN PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,263,262,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Silver%20Leather%20Woven.png
3149,pillows-throws,"SILVER DISCO PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,273,260,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Silver%20Disco.png
315,tables,"STEEPE HORN SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,197,250,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/STEEPE%20Side%20Table%200.png
4064,bars,"SINATRA - WALNUT FLUTED BAR",PASS,,1448,1086,0.567,1.043,1.043,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/4064/cbc0b7ede9387a2a.png
578,lighting,"SINIA TELESCOPING FLOOR LAMP",BROKEN,MEASURE_FAIL|LOW_RES,100,289,0.990,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/lighting/lamp/SINIA%20Floor%20Lamp%200.png
2618,seating,"SUHANA COGNAC LEATHER CHAIR",AT_RISK,LOW_RES,298,266,0.925,0.700,0.631,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/chair-lounge/SUHANA%20Chair%200.png
3878,large-decor,"SUTTON 36\" BLACK FIREPIT + TANK COVER",BROKEN,MEASURE_FAIL|LOW_RES,343,225,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/largedecor/SUTTON%2036%20Firepit.png
