rms_id,title,category,status_class,current_hero_url,current_hero_path,current_in_storage,current_dupe_count,proposed_hero_url,proposed_source,proposed_confidence
2861,Aaron Matte Black Plank Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/AARON Coffee Table 0.png,TABLES/AARON Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/AARON Coffee Table 0.png,keep_current,n/a
3105,"Bartolo 32"" Black Tambour Cocktail Column",tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BARTOLO  32 in SMALL.png,TABLES/BARTOLO  32 in SMALL.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BARTOLO  32 in SMALL.png,keep_current,n/a
2616,Berghard Trunk Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BERGHARD Side Table 0.png,TABLES/BERGHARD Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BERGHARD Side Table 0.png,keep_current,n/a
3031,"Boulder 48"" Cast Coffee Table",tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BOULDER 48 Coffee Table.png,TABLES/BOULDER 48 Coffee Table.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BOULDER 48 Coffee Table.png,keep_current,n/a
376,Broadway Concrete Counter Community Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BROADWAY Counter Table 0.png,TABLES/BROADWAY Counter Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/BROADWAY Counter Table 0.png,keep_current,n/a
3000,Calloway Wood + Marble Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/CALLOWAY Coffee Table 0.png,TABLES/CALLOWAY Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/CALLOWAY Coffee Table 0.png,keep_current,n/a
288,Collin Wood-Filled Concrete Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/COLLIN Coffee Table 0.png,TABLES/COLLIN Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/COLLIN Coffee Table 0.png,keep_current,n/a
2997,Dashiell Oak Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/DASHIELL Coffee Table 0.png,TABLES/DASHIELL Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/DASHIELL Coffee Table 0.png,keep_current,n/a
2992,Duke Antique Bronze Cocktail Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/DUKE Cocktail Table 0.png,TABLES/DUKE Cocktail Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/DUKE Cocktail Table 0.png,keep_current,n/a
810,Elise Mahogany Cocktail Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/ELISE Cocktail Table 0.png,TABLES/ELISE Cocktail Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/ELISE Cocktail Table 0.png,keep_current,n/a
